umapscvinative_1	umapscvinative_2	celltype_annotation	Rbfox3	Mog	Gfap	Olig2
-7.61843794124598	4.07998381267082	Astrocytes	0	0	1.69133812362699	0
3.03809553844457	-5.73734607090462	Oligodendrocytes	0	3.04093165582811	1.16747231980682	0
-8.03442304866785	6.23155222545158	Astrocytes	0	0	0	0
-7.66496485012049	5.34195862422477	Astrocytes	0	0	0	0
6.9114182637406	-8.86844386448372	Neurons	1.66616704959864	1.66616704959864	0	0
6.91512042743688	4.44980869899284	Neurons	1.35087986957324	0	0	0
-2.66372864978785	-2.70222296108712	Oligodendrocytes	0	2.58436744331864	0	0
-7.94695013301844	5.17724333415519	Astrocytes	0	0	0	0
-9.17788618343348	5.69601307521354	Astrocytes	0	0	0	0
0.858864133186395	-5.35670556416024	Oligodendrocytes	0	1.79972029394135	0	0
