cluster	gene	specificity	avg_log2FC	pct.1	pct.2	p_val_adj
149	Dlk1	17.994671845294	1.27664901605127	0.582	0.032	1.77708570795019e-107
149	Zfp804b	17.3258132430389	3.18613975851314	0.909	0.159	1.3398293154296e-58
149	Gm20754	16.0393155390197	2.86607081218887	0.891	0.151	6.59142862972141e-61
149	Synpr	15.6901993582588	2.33350356715503	0.891	0.124	5.98106036567175e-69
149	Ntng1	13.7358590586206	2.91922261307439	0.964	0.197	3.62797266401458e-58
149	Hs3st4	13.3046919572978	2.46907403935669	0.836	0.147	5.28536536835196e-51
149	Tacr3	12.5180213118281	0.807614278182455	0.455	0.02	1.35999711467465e-107
149	Asb4	12.3795287507394	0.624486613538784	0.327	0.007	4.00718566359315e-156
149	Col25a1	11.6035654627552	1.75206154007165	0.745	0.104	1.94327610717056e-51
149	Tafa2	10.9504560517078	2.43083762940793	0.927	0.198	1.23195389086505e-45
149	Stac	10.9113388533168	1.3512493935996	0.636	0.07	2.0607082524841e-58
149	Thsd7b	10.2551146961896	2.21826376780545	0.873	0.181	2.38526294834346e-44
149	Gal	9.93229653916064	1.22161936043152	0.364	0.036	2.08743109913987e-34
149	Arhgap15	9.51899968419196	1.45935883660086	0.564	0.078	8.36968558218314e-37
15	Acsbg1	17.8480895504381	2.02176897465377	0.811	0.083	0
15	Slc39a12	17.6333540596659	2.45317582629242	0.946	0.123	0
15	Atp13a4	17.5220423845253	1.97400224331994	0.78	0.079	0
15	Pax3	16.4768189838136	1.4499600705756	0.49	0.034	0
15	Gli3	15.8848898622029	1.90705362602163	0.723	0.078	0
15	Fgfr3	14.9664750999046	1.78794132065975	0.735	0.079	0
15	Phkg1	14.3195219173771	2.07753255635806	0.824	0.111	0
15	Bmpr1b	14.1395394193036	1.93958016725701	0.719	0.09	0
15	Ntsr2	14.1309917360113	1.96782117812403	0.823	0.106	0
15	Slc7a10	13.619438369598	1.93876710908395	0.84	0.111	0
15	Rorb	13.6031858970208	2.30230911752675	0.894	0.143	0
15	Nhsl1	13.319032541227	2.32206817330602	0.902	0.149	0
15	Gm3764	12.9030076529123	2.72525987463913	0.989	0.201	0
15	Kank1	12.8362356861789	2.1830332799624	0.872	0.14	0
15	Npas2	12.7517032477204	2.01512377492421	0.781	0.115	0
15	Slc4a4	12.6238207860255	2.93165808043835	0.989	0.222	0
15	Etnppl	12.5156772071029	1.53622030700903	0.544	0.058	0
15	Gjb6	12.4845751232155	1.60489306516671	0.659	0.076	0
15	Gm9925	12.1870811937314	1.66921730635791	0.669	0.083	0
15	Slc6a11	12.1847622614869	2.00048335636352	0.861	0.133	0
150	Nr5a2	24.5697255205306	0.814466039354607	0.352	0.002	0
150	Zfp804b	18.5650071231366	3.48997353037828	0.889	0.159	2.36457684298368e-55
150	Cpne4	16.192688693659	1.74784605005997	0.796	0.077	4.24644320662458e-85
150	Il1rapl2	14.8131968560594	2.22381739402381	0.796	0.111	8.68692291700493e-56
150	Pou6f2	13.1332968476737	1.28184575396815	0.574	0.047	1.2471847959068e-71
150	Nwd2	11.2011470616538	2.08470388444369	0.667	0.116	3.86375269203473e-37
150	Cpa6	10.4375979413772	1.10132927918608	0.407	0.034	6.03506557959754e-47
150	Dach1	10.2839511588394	2.1644640793711	0.926	0.187	7.11255756453034e-46
150	Osbpl3	9.77374139828413	1.26753208758997	0.63	0.073	7.17281159322873e-51
150	Cacna2d1	9.74465917552799	2.31348023591672	0.963	0.221	1.85121630353574e-44
150	Clstn2	9.33538660498253	2.36982578769855	0.963	0.237	4.1919371390229e-41
150	Lhx1os	8.78054863595591	0.850766138401578	0.537	0.043	3.74832154715607e-66
150	C1ql4	8.73443449778799	0.382783981974773	0.241	0.001	0
150	Nkain3	8.65751472693786	2.08974493408845	0.889	0.207	3.68818051520368e-38
150	Pax2	8.05659223710791	1.11285302843505	0.685	0.086	1.64783128645809e-51
150	Mpped2	7.87789735421457	2.02412573335421	0.963	0.24	3.08468659087649e-41
150	Grm8	7.75535035972917	1.96527628434046	0.87	0.213	9.16034395831695e-33
150	Kcnc2	7.55260518476127	2.10846993162365	0.907	0.246	3.59541497870168e-33
150	Galntl6	7.01175349903136	2.34744637317626	0.907	0.297	9.10451430114811e-26
