p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	specificity
2.29320697994999e-27	0.84823016245743	0.566	0.178	7.40361873476854e-23	82	Gabrb2	2.59883283816745
2.35905459977751e-35	0.885637523822507	0.876	0.292	7.61620777538168e-31	82	Hecw1	2.59826107982365
1.27914994433e-32	0.792452650706769	0.566	0.166	4.12973559526941e-28	82	Lrfn2	2.59348140231306
4.16847239648548e-19	0.943798595766746	0.549	0.194	1.34579131320534e-14	82	Sphkap	2.58619321094907
8.26208957758882e-35	0.869306103433879	0.814	0.267	2.66741562012455e-30	82	Mir124a-1hg	2.58595028602713
3.8693706180397e-33	0.754255429535971	0.584	0.164	1.24922630403412e-28	82	5330417C22Rik	2.57487198358831
4.41115828991561e-34	0.93093589608111	0.85	0.301	1.42414245389926e-29	82	Ptprn	2.57429218852011
3.38550746451211e-37	1.25745214615781	0.982	0.475	1.09301108491773e-32	82	Fgf12	2.57194335873928
7.86797699221362e-30	0.549388096561913	0.327	0.062	2.54017637193617e-25	82	Sox11	2.57144150751896
1.38048217064183e-34	1.01917134246126	0.929	0.364	4.45688668791714e-30	82	Cacna1d	2.55882858441476
1.19118086382338e-34	0.816357439807296	0.69	0.215	3.84572741885379e-30	82	Scn3a	2.5397787016227
8.97933920635643e-33	1.13224550202428	0.858	0.379	2.89897966277217e-28	82	Lhfpl3	2.52645011762745
4.38168241941764e-35	1.0811028758188	0.885	0.373	1.41462616910898e-30	82	Stau2	2.52633700746169
5.70389902186574e-36	0.420650716133413	0.265	0.036	1.84150379920935e-31	82	Pax6	2.51475971601497
2.55532980991656e-31	0.851980578675541	0.726	0.241	8.24988229131562e-27	82	Gm48091	2.49823787213226
1.05635685975342e-39	1.46052909886527	0.991	0.576	3.41044812171392e-35	82	Ube3a	2.49486284635518
6.58024320256442e-30	0.79378405293627	0.637	0.196	2.12443151794792e-25	82	Alk	2.49309845752314
5.45660898282559e-32	0.865923026062133	0.796	0.274	1.76166621010524e-27	82	Fam135b	2.45751394016225
1.92260064196089e-32	1.01338499357602	0.938	0.382	6.20711617257074e-28	82	Samd12	2.45073717834201
2.26686791333911e-31	0.365233333537448	0.124	0.01	7.31858305821531e-27	82	Gck	2.44706333470091
2.84830052831216e-26	0.996349975059121	0.85	0.341	9.19573825565581e-22	82	Lrrtm4	2.44119936909073
3.3046958558445e-36	0.755968180493246	0.681	0.204	1.0669210570594e-31	82	Ptpn5	2.44100005944314
6.25948645860942e-28	0.824900771009423	0.664	0.218	2.02087520316205e-23	82	Adcy2	2.43852245465066
4.50544347336906e-34	0.918672275762418	0.876	0.326	1.4545824253772e-29	82	Snrpn	2.4224512985878
3.72925233951444e-29	0.957108495922426	0.841	0.327	1.20398911781224e-24	82	Rasgrf1	2.41691195854595
1.3079399423544e-30	0.952045951990084	0.876	0.341	4.22268410389119e-26	82	Dok6	2.40317012382682
3.43610718681847e-33	0.750126678972163	0.681	0.207	1.10934720526434e-28	82	Dapk1	2.38865223580537
1.71464861633053e-26	0.860102896057511	0.743	0.264	5.53574305782311e-22	82	Chsy3	2.36371343332593
1.43277350761303e-34	1.07157731087926	0.956	0.429	4.62570926932866e-30	82	5330434G04Rik	2.35795827405322
1.37171192281563e-32	0.837210248864484	0.805	0.28	4.42857194281027e-28	82	Ica1	2.35284949249846
2.27125371673448e-53	0.317091720923313	0.301	0.032	7.33274262447725e-49	82	Irx2	2.34798869540834
1.63184082990979e-31	0.838199477814488	0.788	0.276	5.26839811936374e-27	82	Rab3c	2.33875238914672
6.36529450881217e-28	0.827872639883035	0.717	0.249	2.05503533217001e-23	82	Runx1t1	2.32379694669871
7.67751854587208e-31	0.741656167740563	0.593	0.183	2.4786868625348e-26	82	Unc13a	2.31719517693036
